Test Case ID,Module,Submodule,Scenario,Type,Precondition,Steps,Test Data,Expected Result,Priority,Actual Result,Status,Remarks
M-AY-006,Masters,Academic Year,Duplicate academic year entry,Negative,One year already exists,Create same year again and save,"Valid: AY 2026-27, 01-06-2026 to 31-03-2027; Invalid: end date before start date",Duplicate is rejected or warned,P1,,Not Executed,
M-AY-007,Masters,Academic Year,Missing mandatory fields,Negative,Academic Year form is visible,Leave required fields empty and save,"Valid: AY 2026-27, 01-06-2026 to 31-03-2027; Invalid: end date before start date",Validation message shown,P0,,Not Executed,
M-AY-008,Masters,Academic Year,Delete academic year,Negative,Record selected for delete,Click delete and confirm,"Valid: AY 2026-27, 01-06-2026 to 31-03-2027; Invalid: end date before start date",Record deleted only after confirmation,P1,,Not Executed,
M-SYL-001,Masters,Syllabus,Open Syllabus page,Positive,Admin user is logged in,Go to Masters > Syllabus,Use valid existing master data; include one invalid/duplicate sample for negative case,Syllabus page loads successfully,P0,,Not Executed,
M-SYL-002,Masters,Syllabus,Create syllabus with valid inputs,Positive,Syllabus form is visible,Select class subject and enter syllabus then save,Use valid existing master data; include one invalid/duplicate sample for negative case,Syllabus is saved,P0,,Not Executed,
M-SYL-003,Masters,Syllabus,Edit syllabus record,Positive,Syllabus record exists,Update syllabus data and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Record is updated successfully,P1,,Not Executed,
M-SYL-004,Masters,Syllabus,Search syllabus record,Positive,Multiple records exist,Use search with valid keyword,Use valid existing master data; include one invalid/duplicate sample for negative case,Matching records are displayed,P2,,Not Executed,
M-SYL-005,Masters,Syllabus,Save without selecting class,Negative,Syllabus form is visible,Keep class blank and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Validation shown for required class,P0,,Not Executed,
M-SYL-006,Masters,Syllabus,Save without selecting subject,Negative,Syllabus form is visible,Keep subject blank and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Validation shown for required subject,P0,,Not Executed,
M-SYL-007,Masters,Syllabus,Duplicate syllabus for same class and subject,Negative,Same mapping already exists,Create same mapping and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Duplicate is rejected or warned,P1,,Not Executed,
M-SYL-008,Masters,Syllabus,Delete syllabus record,Negative,Record exists,Delete and confirm,Use valid existing master data; include one invalid/duplicate sample for negative case,Record is removed after confirmation,P1,,Not Executed,
M-CLS-001,Masters,Class,Open Class page,Positive,Admin user is logged in,Go to Masters > Class,Class: Grade 1; Division: A; Invalid duplicate: Grade 1 - A,Class page loads successfully,P0,,Not Executed,
M-CLS-002,Masters,Class,Create class with valid data,Positive,Class form is visible,Enter class name and save,Class: Grade 1; Division: A; Invalid duplicate: Grade 1 - A,Class is created successfully,P0,,Not Executed,
M-CLS-003,Masters,Class,Edit class details,Positive,Class record exists,Change class detail and save,Class: Grade 1; Division: A; Invalid duplicate: Grade 1 - A,Class update is successful,P0,,Not Executed,
M-CLS-004,Masters,Class,View class in listing,Positive,Class record exists,Open class list,Class: Grade 1; Division: A; Invalid duplicate: Grade 1 - A,Created class appears in list,P1,,Not Executed,
M-CLS-005,Masters,Class,Save class with empty mandatory fields,Negative,Class form is visible,Leave required fields empty and save,Class: Grade 1; Division: A; Invalid duplicate: Grade 1 - A,Validation appears and save blocked,P0,,Not Executed,
M-CLS-006,Masters,Class,Duplicate class creation,Negative,Class already exists,Create same class again and save,Class: Grade 1; Division: A; Invalid duplicate: Grade 1 - A,Duplicate class is rejected or warned,P1,,Not Executed,
M-CLS-007,Masters,Class,Delete class in use,Negative,Class mapped to data,Attempt delete mapped class,Class: Grade 1; Division: A; Invalid duplicate: Grade 1 - A,System blocks delete with message,P1,,Not Executed,
M-CLS-008,Masters,Class,Cancel class creation,Negative,Form has unsaved data,Click cancel or clear,Class: Grade 1; Division: A; Invalid duplicate: Grade 1 - A,No new class is saved,P2,,Not Executed,
M-DIV-001,Masters,Division,Open Division page,Positive,Admin user is logged in,Go to Masters > Division,Class: Grade 1; Division: A; Invalid duplicate: Grade 1 - A,Division page loads successfully,P0,,Not Executed,
M-DIV-002,Masters,Division,Create division with valid class mapping,Positive,Division form is visible,Select class enter division and save,Class: Grade 1; Division: A; Invalid duplicate: Grade 1 - A,Division is created successfully,P0,,Not Executed,
M-DIV-003,Masters,Division,Edit division details,Positive,Division record exists,Update details and save,Class: Grade 1; Division: A; Invalid duplicate: Grade 1 - A,Record updates successfully,P1,,Not Executed,
M-DIV-004,Masters,Division,View division in list,Positive,Record exists,Open division list,Class: Grade 1; Division: A; Invalid duplicate: Grade 1 - A,New division appears in list,P1,,Not Executed,
M-DIV-005,Masters,Division,Division without class mapping,Negative,Division form is visible,Do not select class and save,Class: Grade 1; Division: A; Invalid duplicate: Grade 1 - A,Validation shown and save blocked,P0,,Not Executed,
M-DIV-006,Masters,Division,Duplicate division under same class,Negative,Division already exists under class,Try creating same division,Class: Grade 1; Division: A; Invalid duplicate: Grade 1 - A,Duplicate is rejected or warned,P1,,Not Executed,
M-DIV-007,Masters,Division,Delete mapped division,Negative,Division is linked with students,Try deleting linked division,Class: Grade 1; Division: A; Invalid duplicate: Grade 1 - A,System prevents delete with message,P1,,Not Executed,
M-DIV-008,Masters,Division,Invalid characters in division name,Negative,Division form is visible,Enter invalid special characters and save,Class: Grade 1; Division: A; Invalid duplicate: Grade 1 - A,Validation shown for invalid input,P2,,Not Executed,
M-SUB-001,Masters,Subject,Open Subject page,Positive,Admin user is logged in,Go to Masters > Subject,Use valid existing master data; include one invalid/duplicate sample for negative case,Subject page loads successfully,P0,,Not Executed,
M-SUB-002,Masters,Subject,Create subject with valid input,Positive,Subject form is visible,Enter subject name and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Subject is saved successfully,P0,,Not Executed,
M-SUB-003,Masters,Subject,Edit subject,Positive,Subject exists,Update subject and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Subject updated successfully,P1,,Not Executed,
M-SUB-004,Masters,Subject,Search subject,Positive,Multiple subjects exist,Search by subject name,Use valid existing master data; include one invalid/duplicate sample for negative case,Relevant results are shown,P2,,Not Executed,
M-SUB-005,Masters,Subject,Save subject with empty mandatory fields,Negative,Subject form is visible,Leave required data empty and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Validation shown,P0,,Not Executed,
M-SUB-006,Masters,Subject,Duplicate subject creation,Negative,Subject already exists,Create same subject and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Duplicate rejected or warned,P1,,Not Executed,
M-SUB-007,Masters,Subject,Delete subject in active mapping,Negative,Subject mapped with class/staff,Attempt delete,Use valid existing master data; include one invalid/duplicate sample for negative case,Delete blocked with proper message,P1,,Not Executed,
M-SUB-008,Masters,Subject,Invalid subject length/format,Negative,Subject form is visible,Enter invalid too long or bad format text,Use valid existing master data; include one invalid/duplicate sample for negative case,Validation displayed,P2,,Not Executed,
M-SS-001,Masters,Subject Staff,Open Subject Staff page,Positive,Admin user is logged in,Go to Masters > Subject Staff,"Class: Grade 6 A, Subject: Math, Staff: STF001",Subject Staff page loads successfully,P0,,Not Executed,
M-SS-002,Masters,Subject Staff,Assign subject to staff,Positive,Staff and subject data exist,Select class subject and staff then save,"Class: Grade 6 A, Subject: Math, Staff: STF001",Mapping saved successfully,P0,,Not Executed,
M-SS-003,Masters,Subject Staff,Edit assignment,Positive,Mapping exists,Change assigned staff and save,"Class: Grade 6 A, Subject: Math, Staff: STF001",Assignment updated successfully,P1,,Not Executed,
M-SS-004,Masters,Subject Staff,View assignment list,Positive,Mappings exist,Open list view,"Class: Grade 6 A, Subject: Math, Staff: STF001",Saved mappings appear correctly,P1,,Not Executed,
M-SS-005,Masters,Subject Staff,Save without selecting staff,Negative,Form is visible,Keep staff blank and save,"Class: Grade 6 A, Subject: Math, Staff: STF001",Validation shown and save blocked,P0,,Not Executed,
M-SS-006,Masters,Subject Staff,Save without selecting subject,Negative,Form is visible,Keep subject blank and save,"Class: Grade 6 A, Subject: Math, Staff: STF001",Validation shown and save blocked,P0,,Not Executed,
M-SS-007,Masters,Subject Staff,Duplicate assignment creation,Negative,Same mapping already exists,Create same mapping again,"Class: Grade 6 A, Subject: Math, Staff: STF001",Duplicate rejected or warned,P1,,Not Executed,
M-SS-008,Masters,Subject Staff,Delete assignment,Negative,Assignment exists,Delete and confirm,"Class: Grade 6 A, Subject: Math, Staff: STF001",Mapping removed after confirmation,P1,,Not Executed,
M-MOD-001,Masters,Modules,Open Modules page,Positive,Admin user is logged in,Go to Masters > Modules,Use valid existing master data; include one invalid/duplicate sample for negative case,Modules page loads successfully,P0,,Not Executed,
M-MOD-002,Masters,Modules,Create new module,Positive,Modules form is visible,Enter valid module details and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Module is created successfully,P0,,Not Executed,
M-MOD-003,Masters,Modules,Edit module details,Positive,Module exists,Modify details and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Module is updated,P1,,Not Executed,
M-MOD-004,Masters,Modules,View module in list,Positive,Module exists,Open module listing,Use valid existing master data; include one invalid/duplicate sample for negative case,Module appears in list,P1,,Not Executed,
M-MOD-005,Masters,Modules,Save module with empty mandatory fields,Negative,Modules form is visible,Leave mandatory fields blank and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Validation shown,P0,,Not Executed,
M-MOD-006,Masters,Modules,Duplicate module name,Negative,Module name already exists,Create same module name again,Use valid existing master data; include one invalid/duplicate sample for negative case,Duplicate rejected or warned,P1,,Not Executed,
M-MOD-007,Masters,Modules,Delete module linked with pages,Negative,Module has page mapping,Attempt delete linked module,Use valid existing master data; include one invalid/duplicate sample for negative case,Delete blocked with message,P1,,Not Executed,
M-MOD-008,Masters,Modules,Invalid module name format,Negative,Modules form is visible,Enter invalid special characters and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Validation displayed,P2,,Not Executed,
M-PAG-001,Masters,Pages,Open Pages page,Positive,Admin user is logged in,Go to Masters > Pages,Use valid existing master data; include one invalid/duplicate sample for negative case,Pages page loads successfully,P0,,Not Executed,
M-PAG-002,Masters,Pages,Create new page under module,Positive,Module exists,Select module enter page name and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Page is created successfully,P0,,Not Executed,
M-PAG-003,Masters,Pages,Edit page details,Positive,Page exists,Update page details and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Page is updated,P1,,Not Executed,
M-PAG-004,Masters,Pages,View pages list,Positive,Pages exist,Open list,Use valid existing master data; include one invalid/duplicate sample for negative case,Pages are displayed correctly,P1,,Not Executed,
M-PAG-005,Masters,Pages,Save page without module selection,Negative,Pages form is visible,Keep module empty and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Validation shown and save blocked,P0,,Not Executed,
M-PAG-006,Masters,Pages,Duplicate page in same module,Negative,Same page already exists,Create same page and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Duplicate rejected or warned,P1,,Not Executed,
M-PAG-007,Masters,Pages,Delete page linked with role permission,Negative,Page mapped in role,Attempt to delete,Use valid existing master data; include one invalid/duplicate sample for negative case,System blocks delete or warns user,P1,,Not Executed,
M-PAG-008,Masters,Pages,Invalid page route/name format,Negative,Pages form is visible,Enter unsupported format and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Validation message shown,P2,,Not Executed,
M-ROL-001,Masters,Roles,Open Roles page,Positive,Admin user is logged in,Go to Masters > Roles,Use valid existing master data; include one invalid/duplicate sample for negative case,Roles page loads successfully,P0,,Not Executed,
M-ROL-002,Masters,Roles,Create role with permissions,Positive,Pages/modules data exists,Enter role and choose permissions then save,Use valid existing master data; include one invalid/duplicate sample for negative case,Role saved successfully,P0,,Not Executed,
M-ROL-003,Masters,Roles,Edit role permissions,Positive,Role exists,Modify permissions and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Permission changes are saved,P0,,Not Executed,
M-ROL-004,Masters,Roles,Role menu visibility check after relogin,Positive,Role configured for restricted pages,Login using that role user,Use valid existing master data; include one invalid/duplicate sample for negative case,Only allowed menus/pages are visible,P0,,Not Executed,
M-ROL-005,Masters,Roles,Create role without role name,Negative,Role form is visible,Leave role name empty and save,Use valid existing master data; include one invalid/duplicate sample for negative case,Validation shown and save blocked,P0,,Not Executed,
M-ROL-006,Masters,Roles,Create role without any permission,Negative,Role form is visible,Do not select permissions and save,Use valid existing master data; include one invalid/duplicate sample for negative case,System warns or blocks save,P1,,Not Executed,
M-ROL-007,Masters,Roles,Duplicate role name,Negative,Role already exists,Create same role again,Use valid existing master data; include one invalid/duplicate sample for negative case,Duplicate rejected or warned,P1,,Not Executed,
M-ROL-008,Masters,Roles,Delete role assigned to users,Negative,Role assigned to active user,Attempt delete,Use valid existing master data; include one invalid/duplicate sample for negative case,Delete blocked with dependency message,P1,,Not Executed,
M-STF-001,Masters,Staff,Open Staff page,Positive,Admin user is logged in,Go to Masters > Staff,"Name: Ravi Kumar, Email: ravi.k@school.com, Phone: 9876501234",Staff page loads successfully,P0,,Not Executed,
M-STF-002,Masters,Staff,Create staff with valid data,Positive,Staff form is visible,Enter mandatory data and save,"Name: Ravi Kumar, Email: ravi.k@school.com, Phone: 9876501234",Staff record is created successfully,P0,,Not Executed,
M-STF-003,Masters,Staff,Edit staff details,Positive,Staff record exists,Change details and save,"Name: Ravi Kumar, Email: ravi.k@school.com, Phone: 9876501234",Staff record updated successfully,P0,,Not Executed,
M-STF-004,Masters,Staff,Search staff record,Positive,Multiple staff records exist,Search by name or ID,"Name: Ravi Kumar, Email: ravi.k@school.com, Phone: 9876501234",Matching staff displayed,P1,,Not Executed,
M-STF-005,Masters,Staff,Save staff with empty mandatory fields,Negative,Staff form is visible,Leave mandatory fields empty and save,"Name: Ravi Kumar, Email: ravi.k@school.com, Phone: 9876501234",Validation shown,P0,,Not Executed,
M-STF-006,Masters,Staff,Invalid email or phone in staff form,Negative,Staff form is visible,Enter invalid contact details and save,"Name: Ravi Kumar, Email: ravi.k@school.com, Phone: 9876501234",Validation shown for invalid format,P0,,Not Executed,
M-STF-007,Masters,Staff,Duplicate staff code or email,Negative,Existing staff already has code/email,Try creating duplicate,"Name: Ravi Kumar, Email: ravi.k@school.com, Phone: 9876501234",Duplicate is rejected or warned,P1,,Not Executed,
M-STF-008,Masters,Staff,Delete active staff linked with mappings,Negative,Staff is linked in subject/class mapping,Try deleting linked staff,"Name: Ravi Kumar, Email: ravi.k@school.com, Phone: 9876501234",System blocks delete with message,P1,,Not Executed,
A-ADM-001,Academic,Admission,Open Admission page,Positive,Admin user is logged in,Go to Academic > Admission,"Student: Aarav, Adm No: ADM1001, DOB: 10-05-2014",Admission page loads successfully,P0,,Not Executed,
A-ADM-002,Academic,Admission,Create admission with valid student data,Positive,Admission form is visible,Enter valid student admission details and save,"Student: Aarav, Adm No: ADM1001, DOB: 10-05-2014",Admission record saved successfully,P0,,Not Executed,
A-ADM-003,Academic,Admission,Edit admitted student record,Positive,Admission record exists,Update details and save,"Student: Aarav, Adm No: ADM1001, DOB: 10-05-2014",Record updated successfully,P1,,Not Executed,
A-ADM-004,Academic,Admission,View admission record in list,Positive,Admission records exist,Open admission list,"Student: Aarav, Adm No: ADM1001, DOB: 10-05-2014",Record appears in list,P1,,Not Executed,
A-ADM-005,Academic,Admission,Save admission with mandatory fields blank,Negative,Admission form is visible,Leave required fields empty and save,"Student: Aarav, Adm No: ADM1001, DOB: 10-05-2014",Validation shown and save blocked,P0,,Not Executed,
A-ADM-006,Academic,Admission,Duplicate admission number,Negative,Admission number exists,Create another student with same admission number,"Student: Aarav, Adm No: ADM1001, DOB: 10-05-2014",Duplicate rejected or warned,P0,,Not Executed,
A-ADM-007,Academic,Admission,Invalid DOB or date input,Negative,Admission form is visible,Enter invalid date and save,"Student: Aarav, Adm No: ADM1001, DOB: 10-05-2014",Validation shown for invalid date,P1,,Not Executed,
A-ADM-008,Academic,Admission,Cancel unsaved admission,Negative,Unsaved details entered,Navigate away without save,"Student: Aarav, Adm No: ADM1001, DOB: 10-05-2014",No new admission is saved,P2,,Not Executed,
A-ACT-001,Academic,Allot Class Teacher,Open Allot Class Teacher page,Positive,Admin user is logged in,Go to Academic > Allot Class Teacher,"Class/Division: Grade 5 A, Teacher: STF003",Page loads successfully,P0,,Not Executed,
A-ACT-002,Academic,Allot Class Teacher,Assign class teacher with valid data,Positive,Class division and staff exist,Select class division and teacher then save,"Class/Division: Grade 5 A, Teacher: STF003",Assignment saved successfully,P0,,Not Executed,
A-ACT-003,Academic,Allot Class Teacher,Edit class teacher assignment,Positive,Assignment exists,Change teacher and save,"Class/Division: Grade 5 A, Teacher: STF003",Assignment updated successfully,P1,,Not Executed,
A-ACT-004,Academic,Allot Class Teacher,View assignment list,Positive,Assignments exist,Open list page,"Class/Division: Grade 5 A, Teacher: STF003",Assignments are displayed correctly,P1,,Not Executed,
A-ACT-005,Academic,Allot Class Teacher,Save without class/division selection,Negative,Form is visible,Keep class/division empty and save,"Class/Division: Grade 5 A, Teacher: STF003",Validation shown,P0,,Not Executed,
A-ACT-006,Academic,Allot Class Teacher,Save without teacher selection,Negative,Form is visible,Do not choose teacher and save,"Class/Division: Grade 5 A, Teacher: STF003",Validation shown,P0,,Not Executed,
A-ACT-007,Academic,Allot Class Teacher,Duplicate active assignment,Negative,Assignment already exists,Try same class/division and teacher mapping,"Class/Division: Grade 5 A, Teacher: STF003",Duplicate rejected or warned,P1,,Not Executed,
A-ACT-008,Academic,Allot Class Teacher,Delete assignment,Negative,Assignment exists,Delete and confirm,"Class/Division: Grade 5 A, Teacher: STF003",Assignment removed after confirmation,P1,,Not Executed,
A-CTR-001,Academic,Class Transition,Open Class Transition page,Positive,Admin user is logged in,Go to Academic > Class Transition,"Source: Grade 5 A, Target: Grade 6 A, Academic Year: 2026-27",Class Transition page loads successfully,P0,,Not Executed,
A-CTR-002,Academic,Class Transition,Promote students with valid source/target,Positive,Eligible students are present,Select source class target class and run transition,"Source: Grade 5 A, Target: Grade 6 A, Academic Year: 2026-27",Transition completes successfully,P0,,Not Executed,
A-CTR-003,Academic,Class Transition,View transitioned student list,Positive,Transition already completed,Open result/list view,"Source: Grade 5 A, Target: Grade 6 A, Academic Year: 2026-27",Transitioned students are visible,P1,,Not Executed,
A-CTR-004,Academic,Class Transition,Rollback or correction update if supported,Positive,Transition exists and correction option available,Modify transition entry and save,"Source: Grade 5 A, Target: Grade 6 A, Academic Year: 2026-27",Correction reflects correctly,P2,,Not Executed,
A-CTR-005,Academic,Class Transition,Run transition without source class,Negative,Transition form is visible,Do not select source class and submit,"Source: Grade 5 A, Target: Grade 6 A, Academic Year: 2026-27",Validation shown and submit blocked,P0,,Not Executed,
A-CTR-006,Academic,Class Transition,Run transition without target class,Negative,Transition form is visible,Do not select target class and submit,"Source: Grade 5 A, Target: Grade 6 A, Academic Year: 2026-27",Validation shown and submit blocked,P0,,Not Executed,
A-CTR-007,Academic,Class Transition,Source and target class same,Negative,Transition form is visible,Select same class as source and target and submit,"Source: Grade 5 A, Target: Grade 6 A, Academic Year: 2026-27",System blocks invalid transition,P1,,Not Executed,
A-CTR-008,Academic,Class Transition,Transition same students twice,Negative,Students already transitioned,Run same transition again,"Source: Grade 5 A, Target: Grade 6 A, Academic Year: 2026-27",System prevents duplicate transition,P1,,Not Executed,
A-TRN-001,Academic,Transfer Student,Open Transfer Student page,Positive,Admin user is logged in,Go to Academic > Transfer Student,"Student: ADM1001, From: Grade 6 A, To: Grade 6 B, Reason: Parent request",Transfer Student page loads successfully,P0,,Not Executed,
A-TRN-002,Academic,Transfer Student,Transfer student with valid details,Positive,Student exists in source class,Select student and transfer details then save,"Student: ADM1001, From: Grade 6 A, To: Grade 6 B, Reason: Parent request",Student transfer is completed successfully,P0,,Not Executed,
A-TRN-003,Academic,Transfer Student,Edit transfer details,Positive,Transfer record exists,Modify transfer reason or destination and save,"Student: ADM1001, From: Grade 6 A, To: Grade 6 B, Reason: Parent request",Transfer details updated,P1,,Not Executed,
A-TRN-004,Academic,Transfer Student,View transfer record list,Positive,Transfer records exist,Open transfer list,"Student: ADM1001, From: Grade 6 A, To: Grade 6 B, Reason: Parent request",Transfer records displayed correctly,P1,,Not Executed,
