Test Case ID,Module,Submodule,Scenario,Type,Precondition,Input Fields,Test Data (This Case Only),Steps,Expected Result,Priority,Actual Result,Status,Remarks
NAV-010,Dashboard Navigation,Mobile Navigation,Mobile menu closes after navigation,Positive,Mobile menu is open,NA,,Select any submenu page,Selected page opens and menu closes,P2,,Not Executed,
M-SD-001,Masters,School Details,Open School Details page,Positive,Admin user is logged in,NA,,Go to Masters > School Details,School Details page loads successfully,P0,,Not Executed,
M-SD-002,Masters,School Details,Create school details with valid data,Positive,School Details form is visible,"Name, PhoneNumber, Email, Website, Address",,Enter all mandatory fields and save,Record is saved successfully,P0,,Not Executed,
M-SD-003,Masters,School Details,Edit school details,Positive,Existing school details present,"Name, PhoneNumber, Email, Website, Address",,Update one field and save,Updated details are saved and displayed,P0,,Not Executed,
M-SD-004,Masters,School Details,View saved school details,Positive,Record exists,"Name, PhoneNumber, Email, Website, Address",,Refresh page and view details,Saved data persists and displays correctly,P1,,Not Executed,
M-SD-005,Masters,School Details,Save with missing mandatory fields,Negative,School Details form is visible,"Name, PhoneNumber, Email, Website, Address",,Leave required fields empty and save,Validation message shown and save blocked,P0,,Not Executed,
M-SD-006,Masters,School Details,Invalid email format in contact details,Negative,School Details form is visible,"Name, PhoneNumber, Email, Website, Address",,Enter invalid email and save,Validation shown for invalid email,P1,,Not Executed,
M-SD-007,Masters,School Details,Invalid phone number format,Negative,School Details form is visible,"Name, PhoneNumber, Email, Website, Address",,Enter invalid phone and save,Validation shown for phone format,P1,,Not Executed,
M-SD-008,Masters,School Details,Cancel without saving,Negative,Unsaved changes made,NA,,Click cancel or navigate away,Unsaved data is not committed,P2,,Not Executed,
M-AY-001,Masters,Academic Year,Open Academic Year page,Positive,Admin user is logged in,NA,,Go to Masters > Academic Year,Academic Year page loads successfully,P0,,Not Executed,
M-AY-002,Masters,Academic Year,Create academic year with valid dates,Positive,Academic Year form is visible,"Name, StartDate, EndDate, School, Description",,Enter valid year start and end date and save,Academic year is saved,P0,,Not Executed,
M-AY-003,Masters,Academic Year,Edit academic year,Positive,Academic year exists,"Name, StartDate, EndDate, School, Description",,Modify year name or dates and save,Changes are updated successfully,P0,,Not Executed,
M-AY-004,Masters,Academic Year,View academic year list,Positive,Records exist,NA,,Open list and verify new record,Record appears in list,P1,,Not Executed,
M-AY-005,Masters,Academic Year,End date earlier than start date,Negative,Academic Year form is visible,"Name, StartDate, EndDate, School, Description",,Enter end date before start date and save,Validation shown and save blocked,P0,,Not Executed,
M-AY-006,Masters,Academic Year,Duplicate academic year entry,Negative,One year already exists,"Name, StartDate, EndDate, School, Description",,Create same year again and save,Duplicate is rejected or warned,P1,,Not Executed,
M-AY-007,Masters,Academic Year,Missing mandatory fields,Negative,Academic Year form is visible,"Name, StartDate, EndDate, School, Description",,Leave required fields empty and save,Validation message shown,P0,,Not Executed,
M-AY-008,Masters,Academic Year,Delete academic year,Negative,Record selected for delete,"Name, StartDate, EndDate, School, Description",,Click delete and confirm,Record deleted only after confirmation,P1,,Not Executed,
M-SYL-001,Masters,Syllabus,Open Syllabus page,Positive,Admin user is logged in,NA,,Go to Masters > Syllabus,Syllabus page loads successfully,P0,,Not Executed,
M-SYL-002,Masters,Syllabus,Create syllabus with valid inputs,Positive,Syllabus form is visible,"Name, AvailableFrom, School, AcademicYear, Description",,Select class subject and enter syllabus then save,Syllabus is saved,P0,,Not Executed,
M-SYL-003,Masters,Syllabus,Edit syllabus record,Positive,Syllabus record exists,"Name, AvailableFrom, School, AcademicYear, Description",,Update syllabus data and save,Record is updated successfully,P1,,Not Executed,
M-SYL-004,Masters,Syllabus,Search syllabus record,Positive,Multiple records exist,NA,,Use search with valid keyword,Matching records are displayed,P2,,Not Executed,
M-SYL-005,Masters,Syllabus,Save without selecting class,Negative,Syllabus form is visible,"Name, AvailableFrom, School, AcademicYear, Description",,Keep class blank and save,Validation shown for required class,P0,,Not Executed,
M-SYL-006,Masters,Syllabus,Save without selecting subject,Negative,Syllabus form is visible,"Name, AvailableFrom, School, AcademicYear, Description",,Keep subject blank and save,Validation shown for required subject,P0,,Not Executed,
M-SYL-007,Masters,Syllabus,Duplicate syllabus for same class and subject,Negative,Same mapping already exists,"Name, AvailableFrom, School, AcademicYear, Description",,Create same mapping and save,Duplicate is rejected or warned,P1,,Not Executed,
M-SYL-008,Masters,Syllabus,Delete syllabus record,Negative,Record exists,"Name, AvailableFrom, School, AcademicYear, Description",,Delete and confirm,Record is removed after confirmation,P1,,Not Executed,
M-CLS-001,Masters,Class,Open Class page,Positive,Admin user is logged in,NA,,Go to Masters > Class,Class page loads successfully,P0,,Not Executed,
M-CLS-002,Masters,Class,Create class with valid data,Positive,Class form is visible,"Name, School, AcademicYear, Syllabus, Description",,Enter class name and save,Class is created successfully,P0,,Not Executed,
M-CLS-003,Masters,Class,Edit class details,Positive,Class record exists,"Name, School, AcademicYear, Syllabus, Description",,Change class detail and save,Class update is successful,P0,,Not Executed,
M-CLS-004,Masters,Class,View class in listing,Positive,Class record exists,NA,,Open class list,Created class appears in list,P1,,Not Executed,
M-CLS-005,Masters,Class,Save class with empty mandatory fields,Negative,Class form is visible,"Name, School, AcademicYear, Syllabus, Description",,Leave required fields empty and save,Validation appears and save blocked,P0,,Not Executed,
M-CLS-006,Masters,Class,Duplicate class creation,Negative,Class already exists,"Name, School, AcademicYear, Syllabus, Description",,Create same class again and save,Duplicate class is rejected or warned,P1,,Not Executed,
M-CLS-007,Masters,Class,Delete class in use,Negative,Class mapped to data,"Name, School, AcademicYear, Syllabus, Description",,Attempt delete mapped class,System blocks delete with message,P1,,Not Executed,
M-CLS-008,Masters,Class,Cancel class creation,Negative,Form has unsaved data,"Name, School, AcademicYear, Syllabus, Description",,Click cancel or clear,No new class is saved,P2,,Not Executed,
M-DIV-001,Masters,Division,Open Division page,Positive,Admin user is logged in,NA,,Go to Masters > Division,Division page loads successfully,P0,,Not Executed,
M-DIV-002,Masters,Division,Create division with valid class mapping,Positive,Division form is visible,"School, AcademicYear, Class, Name, Strength, Description",,Select class enter division and save,Division is created successfully,P0,,Not Executed,
M-DIV-003,Masters,Division,Edit division details,Positive,Division record exists,"School, AcademicYear, Class, Name, Strength, Description",,Update details and save,Record updates successfully,P1,,Not Executed,
M-DIV-004,Masters,Division,View division in list,Positive,Record exists,NA,,Open division list,New division appears in list,P1,,Not Executed,
M-DIV-005,Masters,Division,Division without class mapping,Negative,Division form is visible,"School, AcademicYear, Class, Name, Strength, Description",,Do not select class and save,Validation shown and save blocked,P0,,Not Executed,
M-DIV-006,Masters,Division,Duplicate division under same class,Negative,Division already exists under class,"School, AcademicYear, Class, Name, Strength, Description",,Try creating same division,Duplicate is rejected or warned,P1,,Not Executed,
M-DIV-007,Masters,Division,Delete mapped division,Negative,Division is linked with students,"School, AcademicYear, Class, Name, Strength, Description",,Try deleting linked division,System prevents delete with message,P1,,Not Executed,
M-DIV-008,Masters,Division,Invalid characters in division name,Negative,Division form is visible,"School, AcademicYear, Class, Name, Strength, Description",,Enter invalid special characters and save,Validation shown for invalid input,P2,,Not Executed,
M-SUB-001,Masters,Subject,Open Subject page,Positive,Admin user is logged in,NA,,Go to Masters > Subject,Subject page loads successfully,P0,,Not Executed,
M-SUB-002,Masters,Subject,Create subject with valid input,Positive,Subject form is visible,"School, AcademicYear, Name, Description, Topics",,Enter subject name and save,Subject is saved successfully,P0,,Not Executed,
M-SUB-003,Masters,Subject,Edit subject,Positive,Subject exists,"School, AcademicYear, Name, Description, Topics",,Update subject and save,Subject updated successfully,P1,,Not Executed,
M-SUB-004,Masters,Subject,Search subject,Positive,Multiple subjects exist,NA,,Search by subject name,Relevant results are shown,P2,,Not Executed,
M-SUB-005,Masters,Subject,Save subject with empty mandatory fields,Negative,Subject form is visible,"School, AcademicYear, Name, Description, Topics",,Leave required data empty and save,Validation shown,P0,,Not Executed,
M-SUB-006,Masters,Subject,Duplicate subject creation,Negative,Subject already exists,"School, AcademicYear, Name, Description, Topics",,Create same subject and save,Duplicate rejected or warned,P1,,Not Executed,
M-SUB-007,Masters,Subject,Delete subject in active mapping,Negative,Subject mapped with class/staff,"School, AcademicYear, Name, Description, Topics",,Attempt delete,Delete blocked with proper message,P1,,Not Executed,
M-SUB-008,Masters,Subject,Invalid subject length/format,Negative,Subject form is visible,"School, AcademicYear, Name, Description, Topics",,Enter invalid too long or bad format text,Validation displayed,P2,,Not Executed,
M-SS-001,Masters,Subject Staff,Open Subject Staff page,Positive,Admin user is logged in,NA,,Go to Masters > Subject Staff,Subject Staff page loads successfully,P0,,Not Executed,
M-SS-002,Masters,Subject Staff,Assign subject to staff,Positive,Staff and subject data exist,"School, AcademicYear, Class, Name (subject/staff mapping)",,Select class subject and staff then save,Mapping saved successfully,P0,,Not Executed,
M-SS-003,Masters,Subject Staff,Edit assignment,Positive,Mapping exists,"School, AcademicYear, Class, Name (subject/staff mapping)",,Change assigned staff and save,Assignment updated successfully,P1,,Not Executed,
M-SS-004,Masters,Subject Staff,View assignment list,Positive,Mappings exist,"School, AcademicYear, Class, Name (subject/staff mapping)",,Open list view,Saved mappings appear correctly,P1,,Not Executed,
M-SS-005,Masters,Subject Staff,Save without selecting staff,Negative,Form is visible,"School, AcademicYear, Class, Name (subject/staff mapping)",,Keep staff blank and save,Validation shown and save blocked,P0,,Not Executed,
M-SS-006,Masters,Subject Staff,Save without selecting subject,Negative,Form is visible,"School, AcademicYear, Class, Name (subject/staff mapping)",,Keep subject blank and save,Validation shown and save blocked,P0,,Not Executed,
M-SS-007,Masters,Subject Staff,Duplicate assignment creation,Negative,Same mapping already exists,"School, AcademicYear, Class, Name (subject/staff mapping)",,Create same mapping again,Duplicate rejected or warned,P1,,Not Executed,
M-SS-008,Masters,Subject Staff,Delete assignment,Negative,Assignment exists,"School, AcademicYear, Class, Name (subject/staff mapping)",,Delete and confirm,Mapping removed after confirmation,P1,,Not Executed,
M-MOD-001,Masters,Modules,Open Modules page,Positive,Admin user is logged in,NA,,Go to Masters > Modules,Modules page loads successfully,P0,,Not Executed,
M-MOD-002,Masters,Modules,Create new module,Positive,Modules form is visible,"Name, Description",,Enter valid module details and save,Module is created successfully,P0,,Not Executed,
M-MOD-003,Masters,Modules,Edit module details,Positive,Module exists,"Name, Description",,Modify details and save,Module is updated,P1,,Not Executed,
M-MOD-004,Masters,Modules,View module in list,Positive,Module exists,NA,,Open module listing,Module appears in list,P1,,Not Executed,
M-MOD-005,Masters,Modules,Save module with empty mandatory fields,Negative,Modules form is visible,"Name, Description",,Leave mandatory fields blank and save,Validation shown,P0,,Not Executed,
M-MOD-006,Masters,Modules,Duplicate module name,Negative,Module name already exists,"Name, Description",,Create same module name again,Duplicate rejected or warned,P1,,Not Executed,
M-MOD-007,Masters,Modules,Delete module linked with pages,Negative,Module has page mapping,"Name, Description",,Attempt delete linked module,Delete blocked with message,P1,,Not Executed,
M-MOD-008,Masters,Modules,Invalid module name format,Negative,Modules form is visible,"Name, Description",,Enter invalid special characters and save,Validation displayed,P2,,Not Executed,
M-PAG-001,Masters,Pages,Open Pages page,Positive,Admin user is logged in,NA,,Go to Masters > Pages,Pages page loads successfully,P0,,Not Executed,
M-PAG-002,Masters,Pages,Create new page under module,Positive,Module exists,"Class (module), Name, Description",,Select module enter page name and save,Page is created successfully,P0,,Not Executed,
M-PAG-003,Masters,Pages,Edit page details,Positive,Page exists,"Class (module), Name, Description",,Update page details and save,Page is updated,P1,,Not Executed,
M-PAG-004,Masters,Pages,View pages list,Positive,Pages exist,NA,,Open list,Pages are displayed correctly,P1,,Not Executed,
M-PAG-005,Masters,Pages,Save page without module selection,Negative,Pages form is visible,"Class (module), Name, Description",,Keep module empty and save,Validation shown and save blocked,P0,,Not Executed,
M-PAG-006,Masters,Pages,Duplicate page in same module,Negative,Same page already exists,"Class (module), Name, Description",,Create same page and save,Duplicate rejected or warned,P1,,Not Executed,
M-PAG-007,Masters,Pages,Delete page linked with role permission,Negative,Page mapped in role,"Class (module), Name, Description",,Attempt to delete,System blocks delete or warns user,P1,,Not Executed,
M-PAG-008,Masters,Pages,Invalid page route/name format,Negative,Pages form is visible,"Class (module), Name, Description",,Enter unsupported format and save,Validation message shown,P2,,Not Executed,
M-ROL-001,Masters,Roles,Open Roles page,Positive,Admin user is logged in,NA,,Go to Masters > Roles,Roles page loads successfully,P0,,Not Executed,
M-ROL-002,Masters,Roles,Create role with permissions,Positive,Pages/modules data exists,"School, AcademicYear, Name, Description, module/page permission checkboxes",,Enter role and choose permissions then save,Role saved successfully,P0,,Not Executed,
M-ROL-003,Masters,Roles,Edit role permissions,Positive,Role exists,"School, AcademicYear, Name, Description, module/page permission checkboxes",,Modify permissions and save,Permission changes are saved,P0,,Not Executed,
M-ROL-004,Masters,Roles,Role menu visibility check after relogin,Positive,Role configured for restricted pages,"School, AcademicYear, Name, Description, module/page permission checkboxes",,Login using that role user,Only allowed menus/pages are visible,P0,,Not Executed,
M-ROL-005,Masters,Roles,Create role without role name,Negative,Role form is visible,"School, AcademicYear, Name, Description, module/page permission checkboxes",,Leave role name empty and save,Validation shown and save blocked,P0,,Not Executed,
M-ROL-006,Masters,Roles,Create role without any permission,Negative,Role form is visible,"School, AcademicYear, Name, Description, module/page permission checkboxes",,Do not select permissions and save,System warns or blocks save,P1,,Not Executed,
M-ROL-007,Masters,Roles,Duplicate role name,Negative,Role already exists,"School, AcademicYear, Name, Description, module/page permission checkboxes",,Create same role again,Duplicate rejected or warned,P1,,Not Executed,
M-ROL-008,Masters,Roles,Delete role assigned to users,Negative,Role assigned to active user,"School, AcademicYear, Name, Description, module/page permission checkboxes",,Attempt delete,Delete blocked with dependency message,P1,,Not Executed,
M-STF-001,Masters,Staff,Open Staff page,Positive,Admin user is logged in,NA,,Go to Masters > Staff,Staff page loads successfully,P0,,Not Executed,
M-STF-002,Masters,Staff,Create staff with valid data,Positive,Staff form is visible,"School, AcademicYear, FirstName, MiddleName, LastName, MobileNumber, Email, DateOfBirth, Qualification",,Enter mandatory data and save,Staff record is created successfully,P0,,Not Executed,
M-STF-003,Masters,Staff,Edit staff details,Positive,Staff record exists,"School, AcademicYear, FirstName, MiddleName, LastName, MobileNumber, Email, DateOfBirth, Qualification",,Change details and save,Staff record updated successfully,P0,,Not Executed,
M-STF-004,Masters,Staff,Search staff record,Positive,Multiple staff records exist,NA,,Search by name or ID,Matching staff displayed,P1,,Not Executed,
M-STF-005,Masters,Staff,Save staff with empty mandatory fields,Negative,Staff form is visible,"School, AcademicYear, FirstName, MiddleName, LastName, MobileNumber, Email, DateOfBirth, Qualification",,Leave mandatory fields empty and save,Validation shown,P0,,Not Executed,
M-STF-006,Masters,Staff,Invalid email or phone in staff form,Negative,Staff form is visible,"School, AcademicYear, FirstName, MiddleName, LastName, MobileNumber, Email, DateOfBirth, Qualification",,Enter invalid contact details and save,Validation shown for invalid format,P0,,Not Executed,
M-STF-007,Masters,Staff,Duplicate staff code or email,Negative,Existing staff already has code/email,"School, AcademicYear, FirstName, MiddleName, LastName, MobileNumber, Email, DateOfBirth, Qualification",,Try creating duplicate,Duplicate is rejected or warned,P1,,Not Executed,
M-STF-008,Masters,Staff,Delete active staff linked with mappings,Negative,Staff is linked in subject/class mapping,"School, AcademicYear, FirstName, MiddleName, LastName, MobileNumber, Email, DateOfBirth, Qualification",,Try deleting linked staff,System blocks delete with message,P1,,Not Executed,
A-ADM-001,Academic,Admission,Open Admission page,Positive,Admin user is logged in,NA,,Go to Academic > Admission,Admission page loads successfully,P0,,Not Executed,
A-ADM-002,Academic,Admission,Create admission with valid student data,Positive,Admission form is visible,"School, AcademicYear, AdmissionNo, Class, Division, FirstName, MiddleName, LastName, JoinDate, AadharNo, MobileNo, Email, DOB, Gender, BloodGroup, Nationality, Religion, Caste, FatherName, FatherQualification, FatherOccupation, FatherMobile, FatherEmail, FatherAadharNo, MotherName, MotherQualification, MotherOccupation, MotherMobile, MotherEmail, MotherAadharNo, PermanentAddressLine1, PermanentAddressLine2, PermanentPincode, PermanentPlace, PermanentCountry, PermanentState, PermanentDistrict, PermanentCity, TemporaryAddressLine1, TemporaryAddressLine2, TemporaryPincode, TemporaryPlace, TemporaryCountry, TemporaryState, TemporaryDistrict, TemporaryCity, Route, Stop, Bus, Fare, StartDate",,Enter valid student admission details and save,Admission record saved successfully,P0,,Not Executed,
A-ADM-003,Academic,Admission,Edit admitted student record,Positive,Admission record exists,"School, AcademicYear, AdmissionNo, Class, Division, FirstName, MiddleName, LastName, JoinDate, AadharNo, MobileNo, Email, DOB, Gender, BloodGroup, Nationality, Religion, Caste, FatherName, FatherQualification, FatherOccupation, FatherMobile, FatherEmail, FatherAadharNo, MotherName, MotherQualification, MotherOccupation, MotherMobile, MotherEmail, MotherAadharNo, PermanentAddressLine1, PermanentAddressLine2, PermanentPincode, PermanentPlace, PermanentCountry, PermanentState, PermanentDistrict, PermanentCity, TemporaryAddressLine1, TemporaryAddressLine2, TemporaryPincode, TemporaryPlace, TemporaryCountry, TemporaryState, TemporaryDistrict, TemporaryCity, Route, Stop, Bus, Fare, StartDate",,Update details and save,Record updated successfully,P1,,Not Executed,
A-ADM-004,Academic,Admission,View admission record in list,Positive,Admission records exist,NA,,Open admission list,Record appears in list,P1,,Not Executed,
A-ADM-005,Academic,Admission,Save admission with mandatory fields blank,Negative,Admission form is visible,"School, AcademicYear, AdmissionNo, Class, Division, FirstName, MiddleName, LastName, JoinDate, AadharNo, MobileNo, Email, DOB, Gender, BloodGroup, Nationality, Religion, Caste, FatherName, FatherQualification, FatherOccupation, FatherMobile, FatherEmail, FatherAadharNo, MotherName, MotherQualification, MotherOccupation, MotherMobile, MotherEmail, MotherAadharNo, PermanentAddressLine1, PermanentAddressLine2, PermanentPincode, PermanentPlace, PermanentCountry, PermanentState, PermanentDistrict, PermanentCity, TemporaryAddressLine1, TemporaryAddressLine2, TemporaryPincode, TemporaryPlace, TemporaryCountry, TemporaryState, TemporaryDistrict, TemporaryCity, Route, Stop, Bus, Fare, StartDate",,Leave required fields empty and save,Validation shown and save blocked,P0,,Not Executed,
A-ADM-006,Academic,Admission,Duplicate admission number,Negative,Admission number exists,"School, AcademicYear, AdmissionNo, Class, Division, FirstName, MiddleName, LastName, JoinDate, AadharNo, MobileNo, Email, DOB, Gender, BloodGroup, Nationality, Religion, Caste, FatherName, FatherQualification, FatherOccupation, FatherMobile, FatherEmail, FatherAadharNo, MotherName, MotherQualification, MotherOccupation, MotherMobile, MotherEmail, MotherAadharNo, PermanentAddressLine1, PermanentAddressLine2, PermanentPincode, PermanentPlace, PermanentCountry, PermanentState, PermanentDistrict, PermanentCity, TemporaryAddressLine1, TemporaryAddressLine2, TemporaryPincode, TemporaryPlace, TemporaryCountry, TemporaryState, TemporaryDistrict, TemporaryCity, Route, Stop, Bus, Fare, StartDate",,Create another student with same admission number,Duplicate rejected or warned,P0,,Not Executed,
A-ADM-007,Academic,Admission,Invalid DOB or date input,Negative,Admission form is visible,"School, AcademicYear, AdmissionNo, Class, Division, FirstName, MiddleName, LastName, JoinDate, AadharNo, MobileNo, Email, DOB, Gender, BloodGroup, Nationality, Religion, Caste, FatherName, FatherQualification, FatherOccupation, FatherMobile, FatherEmail, FatherAadharNo, MotherName, MotherQualification, MotherOccupation, MotherMobile, MotherEmail, MotherAadharNo, PermanentAddressLine1, PermanentAddressLine2, PermanentPincode, PermanentPlace, PermanentCountry, PermanentState, PermanentDistrict, PermanentCity, TemporaryAddressLine1, TemporaryAddressLine2, TemporaryPincode, TemporaryPlace, TemporaryCountry, TemporaryState, TemporaryDistrict, TemporaryCity, Route, Stop, Bus, Fare, StartDate",,Enter invalid date and save,Validation shown for invalid date,P1,,Not Executed,
A-ADM-008,Academic,Admission,Cancel unsaved admission,Negative,Unsaved details entered,"School, AcademicYear, AdmissionNo, Class, Division, FirstName, MiddleName, LastName, JoinDate, AadharNo, MobileNo, Email, DOB, Gender, BloodGroup, Nationality, Religion, Caste, FatherName, FatherQualification, FatherOccupation, FatherMobile, FatherEmail, FatherAadharNo, MotherName, MotherQualification, MotherOccupation, MotherMobile, MotherEmail, MotherAadharNo, PermanentAddressLine1, PermanentAddressLine2, PermanentPincode, PermanentPlace, PermanentCountry, PermanentState, PermanentDistrict, PermanentCity, TemporaryAddressLine1, TemporaryAddressLine2, TemporaryPincode, TemporaryPlace, TemporaryCountry, TemporaryState, TemporaryDistrict, TemporaryCity, Route, Stop, Bus, Fare, StartDate",,Navigate away without save,No new admission is saved,P2,,Not Executed,
A-ACT-001,Academic,Allot Class Teacher,Open Allot Class Teacher page,Positive,Admin user is logged in,NA,,Go to Academic > Allot Class Teacher,Page loads successfully,P0,,Not Executed,
A-ACT-002,Academic,Allot Class Teacher,Assign class teacher with valid data,Positive,Class division and staff exist,"School, AcademicYear, Class, Division, ClassTeacher",,Select class division and teacher then save,Assignment saved successfully,P0,,Not Executed,
A-ACT-003,Academic,Allot Class Teacher,Edit class teacher assignment,Positive,Assignment exists,"School, AcademicYear, Class, Division, ClassTeacher",,Change teacher and save,Assignment updated successfully,P1,,Not Executed,
A-ACT-004,Academic,Allot Class Teacher,View assignment list,Positive,Assignments exist,"School, AcademicYear, Class, Division, ClassTeacher",,Open list page,Assignments are displayed correctly,P1,,Not Executed,
A-ACT-005,Academic,Allot Class Teacher,Save without class/division selection,Negative,Form is visible,"School, AcademicYear, Class, Division, ClassTeacher",,Keep class/division empty and save,Validation shown,P0,,Not Executed,
A-ACT-006,Academic,Allot Class Teacher,Save without teacher selection,Negative,Form is visible,"School, AcademicYear, Class, Division, ClassTeacher",,Do not choose teacher and save,Validation shown,P0,,Not Executed,
A-ACT-007,Academic,Allot Class Teacher,Duplicate active assignment,Negative,Assignment already exists,"School, AcademicYear, Class, Division, ClassTeacher",,Try same class/division and teacher mapping,Duplicate rejected or warned,P1,,Not Executed,
A-ACT-008,Academic,Allot Class Teacher,Delete assignment,Negative,Assignment exists,"School, AcademicYear, Class, Division, ClassTeacher",,Delete and confirm,Assignment removed after confirmation,P1,,Not Executed,
A-CTR-001,Academic,Class Transition,Open Class Transition page,Positive,Admin user is logged in,NA,,Go to Academic > Class Transition,Class Transition page loads successfully,P0,,Not Executed,
A-CTR-002,Academic,Class Transition,Promote students with valid source/target,Positive,Eligible students are present,"School, AcademicYear, Class, Division, TransitionType, TransitionClass, TransitionDivision, Remarks, student selection",,Select source class target class and run transition,Transition completes successfully,P0,,Not Executed,
A-CTR-003,Academic,Class Transition,View transitioned student list,Positive,Transition already completed,NA,,Open result/list view,Transitioned students are visible,P1,,Not Executed,
A-CTR-004,Academic,Class Transition,Rollback or correction update if supported,Positive,Transition exists and correction option available,"School, AcademicYear, Class, Division, TransitionType, TransitionClass, TransitionDivision, Remarks, student selection",,Modify transition entry and save,Correction reflects correctly,P2,,Not Executed,
A-CTR-005,Academic,Class Transition,Run transition without source class,Negative,Transition form is visible,"School, AcademicYear, Class, Division, TransitionType, TransitionClass, TransitionDivision, Remarks, student selection",,Do not select source class and submit,Validation shown and submit blocked,P0,,Not Executed,
A-CTR-006,Academic,Class Transition,Run transition without target class,Negative,Transition form is visible,"School, AcademicYear, Class, Division, TransitionType, TransitionClass, TransitionDivision, Remarks, student selection",,Do not select target class and submit,Validation shown and submit blocked,P0,,Not Executed,
A-CTR-007,Academic,Class Transition,Source and target class same,Negative,Transition form is visible,"School, AcademicYear, Class, Division, TransitionType, TransitionClass, TransitionDivision, Remarks, student selection",,Select same class as source and target and submit,System blocks invalid transition,P1,,Not Executed,
A-CTR-008,Academic,Class Transition,Transition same students twice,Negative,Students already transitioned,"School, AcademicYear, Class, Division, TransitionType, TransitionClass, TransitionDivision, Remarks, student selection",,Run same transition again,System prevents duplicate transition,P1,,Not Executed,
A-TRN-001,Academic,Transfer Student,Open Transfer Student page,Positive,Admin user is logged in,"School, AcademicYear, Class, Division, TransitionType, Remarks, student selection",,Go to Academic > Transfer Student,Transfer Student page loads successfully,P0,,Not Executed,
