Test Case ID,Module,Submodule,Scenario,Type,Precondition,Input Fields,Steps,Test Data (This Case Only),Expected Result,Priority,Actual Result,Status,Remarks
NAV-008,Dashboard Navigation,Routing,Direct invalid submenu URL,Negative,User logged in,fields as shown in the form,Enter invalid Admin child URL manually,use one invalid/blank/duplicate value for required fields,System does not load wrong page and handles route safely,P1,,Not Executed,
NAV-009,Dashboard Navigation,Mobile Navigation,Mobile bottom nav opens target area,Positive,Mobile viewport is enabled,fields as shown in the form,Tap Masters or Academics from mobile bottom nav,use valid values visible in current form,Related section opens in mobile menu,P2,,Not Executed,
NAV-010,Dashboard Navigation,Mobile Navigation,Mobile menu closes after navigation,Positive,Mobile menu is open,fields as shown in the form,Select any submenu page,use valid values visible in current form,Selected page opens and menu closes,P2,,Not Executed,
M-SD-001,Masters,School Details,Open School Details page,Positive,Admin user is logged in,"school name, address, email, phone, contact person",Go to Masters > School Details,school name=Sunrise School; email=info@sunrise.edu; phone=9876543210,School Details page loads successfully,P0,,Not Executed,
M-SD-002,Masters,School Details,Create school details with valid data,Positive,School Details form is visible,"school name, address, email, phone, contact person",Enter all mandatory fields and save,school name=Sunrise School; email=info@sunrise.edu; phone=9876543210,Record is saved successfully,P0,,Not Executed,
M-SD-003,Masters,School Details,Edit school details,Positive,Existing school details present,"school name, address, email, phone, contact person",Update one field and save,school name=Sunrise School; email=info@sunrise.edu; phone=9876543210,Updated details are saved and displayed,P0,,Not Executed,
M-SD-004,Masters,School Details,View saved school details,Positive,Record exists,"school name, address, email, phone, contact person",Refresh page and view details,school name=Sunrise School; email=info@sunrise.edu; phone=9876543210,Saved data persists and displays correctly,P1,,Not Executed,
M-SD-005,Masters,School Details,Save with missing mandatory fields,Negative,School Details form is visible,"school name, address, email, phone, contact person",Leave required fields empty and save,school name=(blank); email=invalid; phone=123,Validation message shown and save blocked,P0,,Not Executed,
M-SD-006,Masters,School Details,Invalid email format in contact details,Negative,School Details form is visible,"school name, address, email, phone, contact person",Enter invalid email and save,school name=(blank); email=invalid; phone=123,Validation shown for invalid email,P1,,Not Executed,
M-SD-007,Masters,School Details,Invalid phone number format,Negative,School Details form is visible,"school name, address, email, phone, contact person",Enter invalid phone and save,school name=(blank); email=invalid; phone=123,Validation shown for phone format,P1,,Not Executed,
M-SD-008,Masters,School Details,Cancel without saving,Negative,Unsaved changes made,"school name, address, email, phone, contact person",Click cancel or navigate away,school name=(blank); email=invalid; phone=123,Unsaved data is not committed,P2,,Not Executed,
M-AY-001,Masters,Academic Year,Open Academic Year page,Positive,Admin user is logged in,"academic year name, start date, end date, status",Go to Masters > Academic Year,year=AY 2026-27; start=01-06-2026; end=31-03-2027,Academic Year page loads successfully,P0,,Not Executed,
M-AY-002,Masters,Academic Year,Create academic year with valid dates,Positive,Academic Year form is visible,"academic year name, start date, end date, status",Enter valid year start and end date and save,year=AY 2026-27; start=01-06-2026; end=31-03-2027,Academic year is saved,P0,,Not Executed,
M-AY-003,Masters,Academic Year,Edit academic year,Positive,Academic year exists,"academic year name, start date, end date, status",Modify year name or dates and save,year=AY 2026-27; start=01-06-2026; end=31-03-2027,Changes are updated successfully,P0,,Not Executed,
M-AY-004,Masters,Academic Year,View academic year list,Positive,Records exist,"academic year name, start date, end date, status",Open list and verify new record,year=AY 2026-27; start=01-06-2026; end=31-03-2027,Record appears in list,P1,,Not Executed,
M-AY-005,Masters,Academic Year,End date earlier than start date,Negative,Academic Year form is visible,"academic year name, start date, end date, status",Enter end date before start date and save,year=AY 2026-27; start=31-03-2027; end=01-06-2026,Validation shown and save blocked,P0,,Not Executed,
M-AY-006,Masters,Academic Year,Duplicate academic year entry,Negative,One year already exists,"academic year name, start date, end date, status",Create same year again and save,year=AY 2026-27; start=31-03-2027; end=01-06-2026,Duplicate is rejected or warned,P1,,Not Executed,
M-AY-007,Masters,Academic Year,Missing mandatory fields,Negative,Academic Year form is visible,"academic year name, start date, end date, status",Leave required fields empty and save,year=AY 2026-27; start=31-03-2027; end=01-06-2026,Validation message shown,P0,,Not Executed,
M-AY-008,Masters,Academic Year,Delete academic year,Negative,Record selected for delete,"academic year name, start date, end date, status",Click delete and confirm,year=AY 2026-27; start=31-03-2027; end=01-06-2026,Record deleted only after confirmation,P1,,Not Executed,
M-SYL-001,Masters,Syllabus,Open Syllabus page,Positive,Admin user is logged in,"class, subject, chapter/topic, academic year",Go to Masters > Syllabus,class=Grade 6; subject=Math; topic=Algebra Basics; year=AY 2026-27,Syllabus page loads successfully,P0,,Not Executed,
M-SYL-002,Masters,Syllabus,Create syllabus with valid inputs,Positive,Syllabus form is visible,"class, subject, chapter/topic, academic year",Select class subject and enter syllabus then save,class=Grade 6; subject=Math; topic=Algebra Basics; year=AY 2026-27,Syllabus is saved,P0,,Not Executed,
M-SYL-003,Masters,Syllabus,Edit syllabus record,Positive,Syllabus record exists,"class, subject, chapter/topic, academic year",Update syllabus data and save,class=Grade 6; subject=Math; topic=Algebra Basics; year=AY 2026-27,Record is updated successfully,P1,,Not Executed,
M-SYL-004,Masters,Syllabus,Search syllabus record,Positive,Multiple records exist,"class, subject, chapter/topic, academic year",Use search with valid keyword,class=Grade 6; subject=Math; topic=Algebra Basics; year=AY 2026-27,Matching records are displayed,P2,,Not Executed,
M-SYL-005,Masters,Syllabus,Save without selecting class,Negative,Syllabus form is visible,"class, subject, chapter/topic, academic year",Keep class blank and save,class=(blank); subject=(blank); topic=Algebra Basics,Validation shown for required class,P0,,Not Executed,
M-SYL-006,Masters,Syllabus,Save without selecting subject,Negative,Syllabus form is visible,"class, subject, chapter/topic, academic year",Keep subject blank and save,class=(blank); subject=(blank); topic=Algebra Basics,Validation shown for required subject,P0,,Not Executed,
M-SYL-007,Masters,Syllabus,Duplicate syllabus for same class and subject,Negative,Same mapping already exists,"class, subject, chapter/topic, academic year",Create same mapping and save,class=(blank); subject=(blank); topic=Algebra Basics,Duplicate is rejected or warned,P1,,Not Executed,
M-SYL-008,Masters,Syllabus,Delete syllabus record,Negative,Record exists,"class, subject, chapter/topic, academic year",Delete and confirm,class=(blank); subject=(blank); topic=Algebra Basics,Record is removed after confirmation,P1,,Not Executed,
M-CLS-001,Masters,Class,Open Class page,Positive,Admin user is logged in,"class name/code, display order, status",Go to Masters > Class,class name=Grade 1; class code=G1; status=Active,Class page loads successfully,P0,,Not Executed,
M-CLS-002,Masters,Class,Create class with valid data,Positive,Class form is visible,"class name/code, display order, status",Enter class name and save,class name=Grade 1; class code=G1; status=Active,Class is created successfully,P0,,Not Executed,
M-CLS-003,Masters,Class,Edit class details,Positive,Class record exists,"class name/code, display order, status",Change class detail and save,class name=Grade 1; class code=G1; status=Active,Class update is successful,P0,,Not Executed,
M-CLS-004,Masters,Class,View class in listing,Positive,Class record exists,"class name/code, display order, status",Open class list,class name=Grade 1; class code=G1; status=Active,Created class appears in list,P1,,Not Executed,
M-CLS-005,Masters,Class,Save class with empty mandatory fields,Negative,Class form is visible,"class name/code, display order, status",Leave required fields empty and save,class name=Grade 1 (duplicate); class code=G1,Validation appears and save blocked,P0,,Not Executed,
M-CLS-006,Masters,Class,Duplicate class creation,Negative,Class already exists,"class name/code, display order, status",Create same class again and save,class name=Grade 1 (duplicate); class code=G1,Duplicate class is rejected or warned,P1,,Not Executed,
M-CLS-007,Masters,Class,Delete class in use,Negative,Class mapped to data,"class name/code, display order, status",Attempt delete mapped class,class name=Grade 1 (duplicate); class code=G1,System blocks delete with message,P1,,Not Executed,
M-CLS-008,Masters,Class,Cancel class creation,Negative,Form has unsaved data,"class name/code, display order, status",Click cancel or clear,class name=Grade 1 (duplicate); class code=G1,No new class is saved,P2,,Not Executed,
M-DIV-001,Masters,Division,Open Division page,Positive,Admin user is logged in,"class, division name, status",Go to Masters > Division,class=Grade 1; division=A; status=Active,Division page loads successfully,P0,,Not Executed,
M-DIV-002,Masters,Division,Create division with valid class mapping,Positive,Division form is visible,"class, division name, status",Select class enter division and save,class=Grade 1; division=A; status=Active,Division is created successfully,P0,,Not Executed,
M-DIV-003,Masters,Division,Edit division details,Positive,Division record exists,"class, division name, status",Update details and save,class=Grade 1; division=A; status=Active,Record updates successfully,P1,,Not Executed,
M-DIV-004,Masters,Division,View division in list,Positive,Record exists,"class, division name, status",Open division list,class=Grade 1; division=A; status=Active,New division appears in list,P1,,Not Executed,
M-DIV-005,Masters,Division,Division without class mapping,Negative,Division form is visible,"class, division name, status",Do not select class and save,class=(blank); division=A,Validation shown and save blocked,P0,,Not Executed,
M-DIV-006,Masters,Division,Duplicate division under same class,Negative,Division already exists under class,"class, division name, status",Try creating same division,class=(blank); division=A,Duplicate is rejected or warned,P1,,Not Executed,
M-DIV-007,Masters,Division,Delete mapped division,Negative,Division is linked with students,"class, division name, status",Try deleting linked division,class=(blank); division=A,System prevents delete with message,P1,,Not Executed,
M-DIV-008,Masters,Division,Invalid characters in division name,Negative,Division form is visible,"class, division name, status",Enter invalid special characters and save,class=(blank); division=A,Validation shown for invalid input,P2,,Not Executed,
M-SUB-001,Masters,Subject,Open Subject page,Positive,Admin user is logged in,"subject name/code, class(optional), status",Go to Masters > Subject,subject name=Mathematics; subject code=MATH01; status=Active,Subject page loads successfully,P0,,Not Executed,
M-SUB-002,Masters,Subject,Create subject with valid input,Positive,Subject form is visible,"subject name/code, class(optional), status",Enter subject name and save,subject name=Mathematics; subject code=MATH01; status=Active,Subject is saved successfully,P0,,Not Executed,
M-SUB-003,Masters,Subject,Edit subject,Positive,Subject exists,"subject name/code, class(optional), status",Update subject and save,subject name=Mathematics; subject code=MATH01; status=Active,Subject updated successfully,P1,,Not Executed,
M-SUB-004,Masters,Subject,Search subject,Positive,Multiple subjects exist,"subject name/code, class(optional), status",Search by subject name,subject name=Mathematics; subject code=MATH01; status=Active,Relevant results are shown,P2,,Not Executed,
M-SUB-005,Masters,Subject,Save subject with empty mandatory fields,Negative,Subject form is visible,"subject name/code, class(optional), status",Leave required data empty and save,subject name=Mathematics (duplicate); subject code=MATH01,Validation shown,P0,,Not Executed,
M-SUB-006,Masters,Subject,Duplicate subject creation,Negative,Subject already exists,"subject name/code, class(optional), status",Create same subject and save,subject name=Mathematics (duplicate); subject code=MATH01,Duplicate rejected or warned,P1,,Not Executed,
M-SUB-007,Masters,Subject,Delete subject in active mapping,Negative,Subject mapped with class/staff,"subject name/code, class(optional), status",Attempt delete,subject name=Mathematics (duplicate); subject code=MATH01,Delete blocked with proper message,P1,,Not Executed,
M-SUB-008,Masters,Subject,Invalid subject length/format,Negative,Subject form is visible,"subject name/code, class(optional), status",Enter invalid too long or bad format text,subject name=Mathematics (duplicate); subject code=MATH01,Validation displayed,P2,,Not Executed,
M-SS-001,Masters,Subject Staff,Open Subject Staff page,Positive,Admin user is logged in,"class, division, subject, staff, status",Go to Masters > Subject Staff,class=Grade 6; division=A; subject=Math; staff=STF003,Subject Staff page loads successfully,P0,,Not Executed,
M-SS-002,Masters,Subject Staff,Assign subject to staff,Positive,Staff and subject data exist,"class, division, subject, staff, status",Select class subject and staff then save,class=Grade 6; division=A; subject=Math; staff=STF003,Mapping saved successfully,P0,,Not Executed,
M-SS-003,Masters,Subject Staff,Edit assignment,Positive,Mapping exists,"class, division, subject, staff, status",Change assigned staff and save,class=Grade 6; division=A; subject=Math; staff=STF003,Assignment updated successfully,P1,,Not Executed,
M-SS-004,Masters,Subject Staff,View assignment list,Positive,Mappings exist,"class, division, subject, staff, status",Open list view,class=Grade 6; division=A; subject=Math; staff=STF003,Saved mappings appear correctly,P1,,Not Executed,
M-SS-005,Masters,Subject Staff,Save without selecting staff,Negative,Form is visible,"class, division, subject, staff, status",Keep staff blank and save,class=Grade 6; division=A; subject=(blank); staff=(blank),Validation shown and save blocked,P0,,Not Executed,
M-SS-006,Masters,Subject Staff,Save without selecting subject,Negative,Form is visible,"class, division, subject, staff, status",Keep subject blank and save,class=Grade 6; division=A; subject=(blank); staff=(blank),Validation shown and save blocked,P0,,Not Executed,
M-SS-007,Masters,Subject Staff,Duplicate assignment creation,Negative,Same mapping already exists,"class, division, subject, staff, status",Create same mapping again,class=Grade 6; division=A; subject=(blank); staff=(blank),Duplicate rejected or warned,P1,,Not Executed,
M-SS-008,Masters,Subject Staff,Delete assignment,Negative,Assignment exists,"class, division, subject, staff, status",Delete and confirm,class=Grade 6; division=A; subject=(blank); staff=(blank),Mapping removed after confirmation,P1,,Not Executed,
M-MOD-001,Masters,Modules,Open Modules page,Positive,Admin user is logged in,"module name, module code, icon/order/status",Go to Masters > Modules,module name=Library; module code=LIB; status=Active,Modules page loads successfully,P0,,Not Executed,
M-MOD-002,Masters,Modules,Create new module,Positive,Modules form is visible,"module name, module code, icon/order/status",Enter valid module details and save,module name=Library; module code=LIB; status=Active,Module is created successfully,P0,,Not Executed,
M-MOD-003,Masters,Modules,Edit module details,Positive,Module exists,"module name, module code, icon/order/status",Modify details and save,module name=Library; module code=LIB; status=Active,Module is updated,P1,,Not Executed,
M-MOD-004,Masters,Modules,View module in list,Positive,Module exists,"module name, module code, icon/order/status",Open module listing,module name=Library; module code=LIB; status=Active,Module appears in list,P1,,Not Executed,
M-MOD-005,Masters,Modules,Save module with empty mandatory fields,Negative,Modules form is visible,"module name, module code, icon/order/status",Leave mandatory fields blank and save,module name=Library (duplicate); module code=LIB,Validation shown,P0,,Not Executed,
M-MOD-006,Masters,Modules,Duplicate module name,Negative,Module name already exists,"module name, module code, icon/order/status",Create same module name again,module name=Library (duplicate); module code=LIB,Duplicate rejected or warned,P1,,Not Executed,
M-MOD-007,Masters,Modules,Delete module linked with pages,Negative,Module has page mapping,"module name, module code, icon/order/status",Attempt delete linked module,module name=Library (duplicate); module code=LIB,Delete blocked with message,P1,,Not Executed,
M-MOD-008,Masters,Modules,Invalid module name format,Negative,Modules form is visible,"module name, module code, icon/order/status",Enter invalid special characters and save,module name=Library (duplicate); module code=LIB,Validation displayed,P2,,Not Executed,
M-PAG-001,Masters,Pages,Open Pages page,Positive,Admin user is logged in,"module, page name, route, permissions flags",Go to Masters > Pages,module=Masters; page name=House; route=/Admin/House,Pages page loads successfully,P0,,Not Executed,
M-PAG-002,Masters,Pages,Create new page under module,Positive,Module exists,"module, page name, route, permissions flags",Select module enter page name and save,module=Masters; page name=House; route=/Admin/House,Page is created successfully,P0,,Not Executed,
M-PAG-003,Masters,Pages,Edit page details,Positive,Page exists,"module, page name, route, permissions flags",Update page details and save,module=Masters; page name=House; route=/Admin/House,Page is updated,P1,,Not Executed,
M-PAG-004,Masters,Pages,View pages list,Positive,Pages exist,"module, page name, route, permissions flags",Open list,module=Masters; page name=House; route=/Admin/House,Pages are displayed correctly,P1,,Not Executed,
M-PAG-005,Masters,Pages,Save page without module selection,Negative,Pages form is visible,"module, page name, route, permissions flags",Keep module empty and save,module=(blank); page name=House,Validation shown and save blocked,P0,,Not Executed,
M-PAG-006,Masters,Pages,Duplicate page in same module,Negative,Same page already exists,"module, page name, route, permissions flags",Create same page and save,module=(blank); page name=House,Duplicate rejected or warned,P1,,Not Executed,
M-PAG-007,Masters,Pages,Delete page linked with role permission,Negative,Page mapped in role,"module, page name, route, permissions flags",Attempt to delete,module=(blank); page name=House,System blocks delete or warns user,P1,,Not Executed,
M-PAG-008,Masters,Pages,Invalid page route/name format,Negative,Pages form is visible,"module, page name, route, permissions flags",Enter unsupported format and save,module=(blank); page name=House,Validation message shown,P2,,Not Executed,
M-ROL-001,Masters,Roles,Open Roles page,Positive,Admin user is logged in,"role name, module/page permissions, user account",Go to Masters > Roles,role name=Admission Clerk; permissions=View/Add Admission,Roles page loads successfully,P0,,Not Executed,
M-ROL-002,Masters,Roles,Create role with permissions,Positive,Pages/modules data exists,"role name, module/page permissions, user account",Enter role and choose permissions then save,role name=Admission Clerk; permissions=View/Add Admission,Role saved successfully,P0,,Not Executed,
M-ROL-003,Masters,Roles,Edit role permissions,Positive,Role exists,"role name, module/page permissions, user account",Modify permissions and save,role name=Admission Clerk; permissions=View/Add Admission,Permission changes are saved,P0,,Not Executed,
M-ROL-004,Masters,Roles,Role menu visibility check after relogin,Positive,Role configured for restricted pages,"username/email, password, captcha",Login using that role user,username=admin@school.com; password=Pass@123; captcha=as displayed,Only allowed menus/pages are visible,P0,,Not Executed,
M-ROL-005,Masters,Roles,Create role without role name,Negative,Role form is visible,"role name, module/page permissions, user account",Leave role name empty and save,role name=(blank); permissions=(none),Validation shown and save blocked,P0,,Not Executed,
M-ROL-006,Masters,Roles,Create role without any permission,Negative,Role form is visible,"role name, module/page permissions, user account",Do not select permissions and save,role name=(blank); permissions=(none),System warns or blocks save,P1,,Not Executed,
M-ROL-007,Masters,Roles,Duplicate role name,Negative,Role already exists,"role name, module/page permissions, user account",Create same role again,role name=(blank); permissions=(none),Duplicate rejected or warned,P1,,Not Executed,
M-ROL-008,Masters,Roles,Delete role assigned to users,Negative,Role assigned to active user,"role name, module/page permissions, user account",Attempt delete,role name=(blank); permissions=(none),Delete blocked with dependency message,P1,,Not Executed,
M-STF-001,Masters,Staff,Open Staff page,Positive,Admin user is logged in,"staff name, staff code, email, phone, role/designation",Go to Masters > Staff,name=Ravi Kumar; code=STF101; email=ravi.k@school.com; phone=9876501234,Staff page loads successfully,P0,,Not Executed,
M-STF-002,Masters,Staff,Create staff with valid data,Positive,Staff form is visible,"staff name, staff code, email, phone, role/designation",Enter mandatory data and save,name=Ravi Kumar; code=STF101; email=ravi.k@school.com; phone=9876501234,Staff record is created successfully,P0,,Not Executed,
M-STF-003,Masters,Staff,Edit staff details,Positive,Staff record exists,"staff name, staff code, email, phone, role/designation",Change details and save,name=Ravi Kumar; code=STF101; email=ravi.k@school.com; phone=9876501234,Staff record updated successfully,P0,,Not Executed,
M-STF-004,Masters,Staff,Search staff record,Positive,Multiple staff records exist,"staff name, staff code, email, phone, role/designation",Search by name or ID,name=Ravi Kumar; code=STF101; email=ravi.k@school.com; phone=9876501234,Matching staff displayed,P1,,Not Executed,
M-STF-005,Masters,Staff,Save staff with empty mandatory fields,Negative,Staff form is visible,"staff name, staff code, email, phone, role/designation",Leave mandatory fields empty and save,name=(blank); code=STF101 (duplicate); email=badmail,Validation shown,P0,,Not Executed,
M-STF-006,Masters,Staff,Invalid email or phone in staff form,Negative,Staff form is visible,"staff name, staff code, email, phone, role/designation",Enter invalid contact details and save,name=(blank); code=STF101 (duplicate); email=badmail,Validation shown for invalid format,P0,,Not Executed,
M-STF-007,Masters,Staff,Duplicate staff code or email,Negative,Existing staff already has code/email,"staff name, staff code, email, phone, role/designation",Try creating duplicate,name=(blank); code=STF101 (duplicate); email=badmail,Duplicate is rejected or warned,P1,,Not Executed,
M-STF-008,Masters,Staff,Delete active staff linked with mappings,Negative,Staff is linked in subject/class mapping,"staff name, staff code, email, phone, role/designation",Try deleting linked staff,name=(blank); code=STF101 (duplicate); email=badmail,System blocks delete with message,P1,,Not Executed,
A-ADM-001,Academic,Admission,Open Admission page,Positive,Admin user is logged in,"student name, admission no, DOB, class, guardian details",Go to Academic > Admission,student=Aarav Sharma; admission no=ADM1001; DOB=10-05-2014; class=Grade 5 A,Admission page loads successfully,P0,,Not Executed,
A-ADM-002,Academic,Admission,Create admission with valid student data,Positive,Admission form is visible,"student name, admission no, DOB, class, guardian details",Enter valid student admission details and save,student=Aarav Sharma; admission no=ADM1001; DOB=10-05-2014; class=Grade 5 A,Admission record saved successfully,P0,,Not Executed,
A-ADM-003,Academic,Admission,Edit admitted student record,Positive,Admission record exists,"student name, admission no, DOB, class, guardian details",Update details and save,student=Aarav Sharma; admission no=ADM1001; DOB=10-05-2014; class=Grade 5 A,Record updated successfully,P1,,Not Executed,
A-ADM-004,Academic,Admission,View admission record in list,Positive,Admission records exist,"student name, admission no, DOB, class, guardian details",Open admission list,student=Aarav Sharma; admission no=ADM1001; DOB=10-05-2014; class=Grade 5 A,Record appears in list,P1,,Not Executed,
A-ADM-005,Academic,Admission,Save admission with mandatory fields blank,Negative,Admission form is visible,"student name, admission no, DOB, class, guardian details",Leave required fields empty and save,student=(blank); admission no=ADM1001 (duplicate); DOB=32-13-2014,Validation shown and save blocked,P0,,Not Executed,
A-ADM-006,Academic,Admission,Duplicate admission number,Negative,Admission number exists,"student name, admission no, DOB, class, guardian details",Create another student with same admission number,student=(blank); admission no=ADM1001 (duplicate); DOB=32-13-2014,Duplicate rejected or warned,P0,,Not Executed,
A-ADM-007,Academic,Admission,Invalid DOB or date input,Negative,Admission form is visible,"student name, admission no, DOB, class, guardian details",Enter invalid date and save,student=(blank); admission no=ADM1001 (duplicate); DOB=32-13-2014,Validation shown for invalid date,P1,,Not Executed,
A-ADM-008,Academic,Admission,Cancel unsaved admission,Negative,Unsaved details entered,"student name, admission no, DOB, class, guardian details",Navigate away without save,student=(blank); admission no=ADM1001 (duplicate); DOB=32-13-2014,No new admission is saved,P2,,Not Executed,
A-ACT-001,Academic,Allot Class Teacher,Open Allot Class Teacher page,Positive,Admin user is logged in,"class, division, teacher, academic year",Go to Academic > Allot Class Teacher,class=Grade 5; division=A; teacher=STF003; year=AY 2026-27,Page loads successfully,P0,,Not Executed,
A-ACT-002,Academic,Allot Class Teacher,Assign class teacher with valid data,Positive,Class division and staff exist,"class, division, teacher, academic year",Select class division and teacher then save,class=Grade 5; division=A; teacher=STF003; year=AY 2026-27,Assignment saved successfully,P0,,Not Executed,
A-ACT-003,Academic,Allot Class Teacher,Edit class teacher assignment,Positive,Assignment exists,"class, division, teacher, academic year",Change teacher and save,class=Grade 5; division=A; teacher=STF003; year=AY 2026-27,Assignment updated successfully,P1,,Not Executed,
A-ACT-004,Academic,Allot Class Teacher,View assignment list,Positive,Assignments exist,"class, division, teacher, academic year",Open list page,class=Grade 5; division=A; teacher=STF003; year=AY 2026-27,Assignments are displayed correctly,P1,,Not Executed,
A-ACT-005,Academic,Allot Class Teacher,Save without class/division selection,Negative,Form is visible,"class, division name, status",Keep class/division empty and save,class=(blank); division=A,Validation shown,P0,,Not Executed,
A-ACT-006,Academic,Allot Class Teacher,Save without teacher selection,Negative,Form is visible,"class, division, teacher, academic year",Do not choose teacher and save,class=Grade 5; division=A; teacher=(blank),Validation shown,P0,,Not Executed,
A-ACT-007,Academic,Allot Class Teacher,Duplicate active assignment,Negative,Assignment already exists,"class, division, teacher, academic year",Try same class/division and teacher mapping,class=Grade 5; division=A; teacher=(blank),Duplicate rejected or warned,P1,,Not Executed,
A-ACT-008,Academic,Allot Class Teacher,Delete assignment,Negative,Assignment exists,"class, division, teacher, academic year",Delete and confirm,class=Grade 5; division=A; teacher=(blank),Assignment removed after confirmation,P1,,Not Executed,
A-CTR-001,Academic,Class Transition,Open Class Transition page,Positive,Admin user is logged in,"source class/division, target class/division, academic year, student selection",Go to Academic > Class Transition,source=Grade 5 A; target=Grade 6 A; year=AY 2026-27; students=all selected,Class Transition page loads successfully,P0,,Not Executed,
A-CTR-002,Academic,Class Transition,Promote students with valid source/target,Positive,Eligible students are present,"source class/division, target class/division, academic year, student selection",Select source class target class and run transition,source=Grade 5 A; target=Grade 6 A; year=AY 2026-27; students=all selected,Transition completes successfully,P0,,Not Executed,
A-CTR-003,Academic,Class Transition,View transitioned student list,Positive,Transition already completed,"source class/division, target class/division, academic year, student selection",Open result/list view,source=Grade 5 A; target=Grade 6 A; year=AY 2026-27; students=all selected,Transitioned students are visible,P1,,Not Executed,
